Time,Level
4.927297421,62.80193605
6.77503043,62.80193605
12.93413106,62.80193605
23.40462751,62.80193605
32.02739095,63.04347826
40.65012619,63.28503153
45.57742361,0
46.19332522,63.04347826
49.27288963,73.91304348
49.88879124,60.14492754
51.12062264,58.93720544
51.12062264,58.93720544
51.12062264,58.93720544
51.73652424,70.53140834
52.35245404,70.28985507
56.66382167,81.88405797
56.66382167,81.88405797
61.59111909,67.39130435
63.4388521,78.01932736
65.90248671,62.56039384
65.90248671,62.56039384
65.90248671,70.04831286
68.36612132,78.26086957
68.98205112,68.5990375
68.98205112,68.5990375
68.98205112,68.5990375
73.90932035,81.40097355
75.14115175,0.966190946
76.98888476,90.57971014
76.98888476,90.57971014
76.98888476,54.10628388
76.98888476,54.10628388
79.45251938,2.173913043
80.06844918,87.198075
86.84345141,65.2173913
88.69118442,40.57971014
89.30711422,65.45894457
89.30711422,65.45894457
89.30711422,65.45894457
93.00258024,41.30434783
93.00258024,41.30434783
93.00258024,41.30434783
94.23438345,66.90821993
94.23438345,66.90821993
96.08211645,8.937205439
96.08211645,8.937205439
99.16168087,89.13043478
101.6253155,83.33333333
103.4730485,89.13043478
103.4730485,89.13043478
103.4730485,89.37198805
105.3207815,0.724637681
105.3207815,0.724637681
105.9367113,83.09179113
105.9367113,83.09179113
105.9367113,83.09179113
109.6321773,90.82126341
109.6321773,90.82126341
109.6321773,55.79710145
111.4799103,52.89855072
111.4799103,52.89855072
112.7117135,62.80193605
112.7117135,62.80193605
113.3276433,44.44445182
113.3276433,44.44445182
115.7912779,64.9758491
115.7912779,64.9758491
116.4071796,0.724637681
122.5663084,13.28503153
122.5663084,13.28503153
122.5663084,1.207722097
122.5663084,1.207722097
139.1959055,1.449275362
142.2754417,8.695652174
142.2754417,8.695652174
142.8913715,0.966190946
142.8913715,0.966190946
147.8186407,0.483084416
147.8186407,0.483084416
150.2823035,5.555548184
150.2823035,5.555548184
151.5141067,0.724637681
151.5141067,0.724637681
151.5141067,0.724637681
169.3755352,0.724637681
169.3755352,0.724637681
173.0710012,80.43478261
173.0710012,80.43478261
174.3028326,64.25121142
177.3823688,65.70048678
177.9982986,65.70048678
178.6142002,65.70048678
181.6937647,67.63285761
181.6937647,67.63285761
182.3096663,63.28503153
183.5414977,64.49275362
183.5414977,64.49275362
188.4687669,65.2173913
191.5483313,63.76811594
191.5483313,64.00966921
191.5483313,63.76811594
194.6278957,1.690828627
196.4756287,89.37198805
197.0915303,60.62802301
198.3233617,1.449275362
198.9392633,1.690828627
198.9392633,1.932359778
198.9392633,1.932359778
200.1710947,65.70048678
203.250631,67.63285761
203.250631,67.63285761
205.098364,65.2173913
205.7142938,65.2173913
208.79383,67.87439982
208.79383,67.87439982
212.489296,66.18358225
212.489296,65.94202899
216.184762,89.61353026
216.184762,89.61353026
218.6484248,1.932359778
223.5756941,65.45894457
226.0393569,60.62802301
226.0393569,60.62802301
228.5029915,64.00966921
229.1188931,12.801925
229.7348229,12.801925
